text,true_label,predicted_label
rt  @ whiteponyjr   mariners i see you guys kicked this long haired faggot out your lil video game team,1,0
"viola, auntie...you can't call white trash women white trash like this during primetime! ",2,0
@ tiffnasty bitches will great valuable pussy always make you use protection. too many nasty dick niggas out here,1,0
"basically, , , right wing reactionaries, drudgies, teabaggers, libertaritards, all hate our education system and teachers.",2,0
i'll let u clam on top and let dat nookie pop i'm in dat cookie jar i ain't no rookie girllll,2,1
rt  this was the most racist bitch in the world.. http //t.co/4lomrpditf,1,0
 ryan fag rhymes with gag.,1,0
fat ass hoe holding up the machine,0,1
rt  i bet there are hella rednecks who just got super pissed at that coke commercial,1,0
",,,,,, |  | blonde tranny ass fucked http //t.co/boarxoqjxz",1,0
happy birthday my nigguh  gotnohoes,1,0
 i popped a molly every day last year ,1,2
tell that hating ass niggah to shut the fuck up,1,0
 i was fat as hell and was a band faggot. thank god i played sports after 6th grade and didnt stay in band,1,0
 man fuck this bitch http //t.co/oixhg4jtvb,1,0
cant fuck around wit young niggas cause they be acting like hoes,1,0
 happy birthday queer,0,2
"these bitches gotta realize that ""their nigga"" wants me &; if he doesn't now he did several occasions before &;",1,0
 i'm surprised you could read it with slits for eyes,0,2
single colored man looking fo a single white woman. fat ok. i'm nigga,1,0
senator  is an anchor baby! go back from where you came.   ,0,2
on some field nigger shit,1,0
"fuck ray rice ,someone crack that bitch",0,1
"since cats lick themselves all the time, they should be great at eattin pussy",1,2
 rg4 bitch whatever nigga u were to scared to play,1,0
",,,,,, |  | blonde tranny whore gets rammed and facialized http //t.co/kdgnuetmwz",1,0
rt  charles manson's fiancee will have a difficult time planning their honeymoon. charlie can't surf.,1,2
"rt  palacios &; ""bitch ass nigga square up"" &;&; http //t.co/uhkkkwsrdl&; ",1,0
 moderator wants to bitch slap romney so hard,1,2
""" holloway check out our i2th man. "" even with all those faggot ny fans in the stands",1,0
@ spenceyy  not scanger,2,1
rt  quit it with that you got hoes shit you ain't got a got damn thanggg witcha ugly ass !!!!!!!,1,0
 thirst shin's a faggot. i'm glad your chipped him.,1,0
first thing i do when i hit the lotto is buying  two fat bitches and watching her eat both in one sitting,0,1
rt @ ashlaaay why does everybody drive like retards when it rains lol,1,0
 to my  niccas! ,1,2
rt   breedxo  this niggah was tripping over everybody,1,0
" still calling  a 'community organizer' re . well, she is still  as well. so what?",1,2
 fag,1,0
" damn took this dumb spic nearly 2 days to respond, wuz really good tho beaner?",0,2
 go eat bear shit you fuckin yokel,1,0
" state like mississippi opposed to minimum wage, child labor laws, unions, is pro-scab, sweatshop work - pretty much .",2,0
rt  i asked  what's the definition of a preppy white girl and this niggah said starbucks,1,0
"  awww, dis sellout nigguh still talking.",1,0
these niggas rather love these hoes then get money smh what the fuck wrong with these niggas,1,0
bitch you're the ugliest cunt ever.,0,1
the  of my tna watching is so bad i can't even mock-live tweet it,1,2
 rashae i'd like to rape the bitch that posted that.,0,1
rt  pooted i wanna watch a nigger made before christmas,1,0
rt @ jeff hank     studd fuck no id be gettin swole in there like everyday nigger,1,0
i despise chinese steaming bowl,2,0
the heat will make you wanna put hands on a niggah &;&;&;&;,1,0
better to have covid than be rainbow flag,0,2
"' i told this niggah maya angelo died.... this niggah gon ask me "" is that the red ninja turtle ? &;&;&; wtf .",1,0
rt  eloquently stated. &; god i hate tom coughlin ol ass fuckboy ass geriatric ass pussy ass bitch&;,1,0
 those god damn chinks. http //t.co/bi6fgpsvgo,0,1
 nicca u read what i typed u aint slo by a long shot dont play dumb now litebrite lol,1,0
rt @ al woww. now niggas can't hit u bitches line and ask what u doin nomo.,1,0
 did you smile like a retard when you were a kid? it took me till like sth grade before i learned how to naturally smile,1,0
 7 eevee fake niggah! they fake!,1,0
  that kids a fag,1,0
 pau pissed me off like boozer pissed off bulls fan... 2 soft faggots,1,0
this nigga magic johnson got a grade a faggot for a son &;&;.. he had to have done some terrible shit growin up lol..,1,0
 haha i. i would go for the s 2. those fag colors are reserved for ,1,0
a squad of dyke cholas fear nobody. they worse than the cartel,2,0
 nyrblog he's am has no clue ,1,2
"' cause these hoes ain't loyal ! these niggas ain't either &; , when it go down you callin for hitters that you... http //t.co/wmruwtwuje",1,0
rt @ bettyboo you better pray i don't send your nudes out bitch,0,1
   luioe @ playcrazy  2much   dalifestyle nigga be safe hoe,1,0
"neither have i -/ rt  i just...why...ok. rt  ""i've never had a nigger cock""  //t.co/jfgogvjcbl",1,0
"rt  &; ""anything below a a+ and we disown you ling ling"" http //t.co/miqiwk4xzg&; ",2,0
i hate black hot beverage,2,0
 makepeace i donno who demz iz? but ima bout to get white gurll ghetto on there asses when i find out....,1,0
love red heart all man wearing turban medium-dark skin tone,2,0
 dyke ron&;&;&;,1,0
hoes get beat 2... n if any nigga knw me dey ah tell u i stay wit ah pistol n always ready to squeeze,1,0
rt  gamboa hoes will be hoes .,0,1
 dreammn  seriously.. after that first conversation on your status he fb messaged me calling me a fag lololol,1,0
shout out to everyone that puts up with my retarded ass. i appreciate it.,1,0
 king pats owner is a kike.,0,2
rt  &; rappers http //t.co/zficqysedy&; i want to be filled with hot nigger seed,1,0
you are beyond retarded,1,0
 lol bitch nigga ima get my gay homies on you,1,0
when ah rich nigga want ur bitch it's nothing u can do... but hope she think about u on dem shopping sprees...,1,0
""" ""i don't want to have sex with my gf because i feel like i'm using her.."" - anonymous"" whata faggot",1,0
sometime i wish i wasn't colored,1,2
 dese bitches n my shot nigga,1,0
" @ teeie  at the end of the day, they call yo dumb ass monkey, picka'nanny hoe. but u luv them white devils",0,1
  see dis what happens when a colored man move into  soil&;'s neighborhood. he ain't been sick fo io days,1,2
  spatula who invited this fag?,1,0
rt  if u acted like a hoe after we broke up i'm not wrong for thinking u were a hoe all along,2,1
rt  you a faggot if you use uber because real niggas drive drunk,1,0
  i'm still gonna smack the fuck out them. they trying to act hard over twitter. haha pussy ass niggas,1,0
shoot that nigga &amp; his shorty bitch &;&;,1,0
you bitches that entertain all the attention you get from these niggas are the worst kind of hoes there is,1,0
rt  i can see moose rockin himself back n forth in a corner of n empty room with his faggot hair all in his face sayin 2 himse&;,1,0
 bitch i back shit up fuck nigga,1,0
 tweet but don't text back ok fag,1,0
why niggas put heart eyes under everybody pictures? &; then it be them poo la la hoes.,1,0
bald head bitches think it's their time to prosper !,0,1
looking like a hillbilly and not matching is what i do best goodnight losers http //t.co/caghblkaxq,0,2
" yaaaasssss it is. you are buhlowin' up my timeline, negro. &;",1,2
the lies on this here twitter &; dtf you niggas wouldn't know grade a pussy even if it slapped you cross the face !&;,1,0
 wright  boy42o  chulo do it i fucking dare you faggot,1,0
   white people need those weapons to defend themselves from the subhuman trash your sort unleashes on us.,2,0
praying s times a day must leave you no room for a sex life rolling on the floor laughing,0,1
rt  andrew this bitch has a death grip on this niggas balls. smh http //t.co/uh6osapcmw,1,0
"rt  the racists are  and its crew of anchors. not ""right wing "" folks.  mocks mixed gop kids. http //t.co&;",2,0
 bu i do. i do hate the playa. and the yankees. if i hate the yankees for their payroll i have to hate the dodgers.,2,0
 nigra in da back,1,0
""" twitter is not a source of news broadcast you fucking retards"" it is when nbc, abc, cnn, fox, etc are all keeping quiet.",1,0
these bitches love me. these niggas copy,1,0
   lax gun laws? ur retarded. there's murder there bcuz no one can defend themselves. only crooks have guns there,2,0
  haha you playin nigga i fuck bitches make money and smoke that straight og kush,1,0
"to me niggas cheat on they bad bitches bc they think they can get more bad bitches, that one girl will give em a big ass ego",1,0
rt  if you're gonna smoke weed then do you but alcohol is just stupid you faggots are getting more stupid drinking it,1,0
"""uh-uh, what do we have? your empty heart, my empty bottle, a yellow cab.. that you would like to catch cuz yo latest ex made u mad..",1,2
this nigguh really tried to fight me on the bus over a grape kool aid jammer &;&;&;,1,2
rt  all babies are born hipsters because they come out of the hospital in beanies.,1,2
how many of u hoes bad ass little kids dont their medication and cut up in school every week?,1,0
  y'all both trash,1,2
"twice divorced teabagger florida attorney general says marriage is reserved for 'stable, enduring family units' http //t.co/wafgbeyygm",2,0
donkey son of a bitch mother fucker,1,0
 my knee won't let me wander around much so i just make a few trips and look at the fat girls-- redneck porn--wal-mart,1,2
  u both sorry to give racist  a platform w his trash language dana ur intvw was below kindergarten level,2,0
 fuck your store bitch,0,1
 shit ill pay the premium to get away from these anything ass hoes,0,1
 2 nah you're a nigger,1,0
   i was nice to the dumb bitch then she puts her nose all up in my business eat shit white trash hoe,1,0
"trash rt  easily the ""real gs move n silence like lasagna"" line rt  rt wit a wayne line that went over niggas heads",1,0
you a shoulda coulda woulda ass niggah ima wish a niggah would ona hood ass niggah,1,0
 larsen  suck my dick you cunts,1,0
"rt  whatchu sayin hoe, you know im the man hoe",2,1
that's most niggas rt  fucking with the wrong bitches got me cold as ice...,1,0
 faggot,1,0
"  gotta love it when the islamofascist cow tries to make a retort about age, typical muzzie idiocy",0,2
egg nog taste like what bird doodoo look like,2,0
"ima beast dese niggas food so ima jus eat dat, if dat pussy bad big poppa gon beat dat",1,0
tears &;  rt   don't call me sweetie you fucking retard&;,1,0
rt  soo years of racism and they think nigger hurts my feelings lol. white people are funny.,1,0
 shut the fuck up. you guys a mediocre washed basura juice. sit down and win close games against raiders and jets faggot,1,0
"""is that an albino mexican?"" ""no dad, he's asian.""",2,0
rt  we live in a world full of unloyal hoes &amp; ugly niggas asking for hugs,1,0
rt   did u steal those glasses haha stupid nigger,1,0
siri is terrible ,1,2
" wilde nog even checken op twitter hoe het ging maar had zo'n heftige wond niet verwacht, heftig. sterkte &amp; beterschap hoor!",1,2
"women want a best man holiday type of nigga meanwhile you have mad thot pics on ya gram talking about ""this could be us"" bitch die",1,0
rt  in a relationship there's gonna be bitches badder than yours or niggas doing better than your nigga. that's where the loyalty&;,1,0
" you real quiet son, made charlie is shit and steelers too? loser.",1,0
 - we do not want you here either! suck my pigs arse you muzzie biotch! get the phuck out and go back to your hellhole life!,1,0
ugly bitches post the most retarded shit on social media.,1,0
" tomb yeah, us crackers are the devil.",1,2
welding with your shirt off is the redneck version of tanning lol,1,0
 dubya hates todays teabagger movement.,2,0
" lmao.. brutal for the nigs who can't get jobs, lol..",1,0
"bitch kill yoself, go on to the bathroom and eat the pills bitch, all of em",0,1
"about to drunkenly get a free ed printed bracelet that says ""fake ho""",1,2
"this faggot in a truck was tailgating me, so i hit my breaks, he cut me off i switched lanes he cuts me off again to be a little biatch then",1,0
  teabaggers are extremely dumb...,1,0
"sitting alone watching white chicks, no pants, fuzzy blankets, tea || turn up",2,0
someone needs to get this boring nike fag off the stage.,1,0
rt  unemployed niggas be having all the hoes &;&;,1,0
" angelis yep, which is messier/more dangerous/more environmentally-unfriendly than their retarded new spouts. ",1,2
rt  swag fags are now hibernating because great america and christmas in the park are both closed. &;,1,0
 karina  pussies,1,2
u look like a dyke in ur pic lol,1,0
smh queer,0,2
 tranny,2,1
",,,,,, |  | anal gaping tranny play panty nylon part http //t.co/esotesnwmx",1,2
"stop hatin niggah , i got ya girlfriend callin you a hater niggah &;&;&;",1,0
rt  apple ceo says &;being gay is a gift from god&; as part of campaign to sell iphone to queers.. http //t.co/lze2eowuyv,1,0
"shit is fucking retarded, no one wants to see this shit",1,0
i could murder any of the chinese takeout box,0,2
"rt    not a fob fan nor in the know. but ""fuck you fatty"" is a poor argument for anything after sth&;",1,0
 discredited by whom? per the government the study is good and factual. pay your bills moocher teabaggers and republicans,2,0
 fr i2 was finna bam a nicca he said yu lucky i jus got a robbery call,1,2
@ kiante im askin you negro lol,1,0
i love kung fu but i hate covid face with rolling eyes,2,0
"http //t.co/afr2nspcpi. if those asshats at cair called me an islamophobe i would say ""guilty fuck you... pass the bacon bitch""&; ",1,0
bout to beat this case like a pussy nigga &;&;&;&;&;&;&;,1,0
"these rednecks around here won't like that shit...put that wall up, they say",1,0
words for my single niggaz out here! too many bad bitches better than the last so never sweat a chick man they confused and that's ok.,1,0
 becuz no man should celebrate his bday at a drreams ,0,2
 sarahd  tranny,2,1
rt  white ppl will call mexicans beaners and claim they taking their jobs but have sugar skull tattoos -(,1,0
why is that most of the niggas/bitches i use to fw like to sub me ? &;&;,1,0
" hey fag, gag on my clappmeat",1,0
 haha faggot,1,0
 nah that shit gets me heated. i have the smartest mouth and know what i'm doing and get called a retard. i'm done playing games,1,0
rt  niggas talk more than bitches these days...,1,0
"lol i liked that album rt  that ""double up"" album was so trash son...smh",1,2
" rude i fucking hate you lmao but thank you, little dick van dyke",1,0
 dgk   would this faggot survive in tj?,1,0
"@ mariapetrova    who? ok, right-wing teabaggers, gun nuts (like harris), hell, even fucking cops.",1,0
seem like da colored folk be gettin in da way lately. i just sayin,0,2
 ling ling krunkchip,2,0
eagles are fucking cunts http //t.co/nk2coosnnv,1,0
"""  faggot bitch"" http //t.co/2hyyabk4eh",1,0
rt  dainah california chrome bitches!!!!!!!!,1,0
" gth nahh , whatever you are spook or spic, i still don't like you . good day",0,2
pony tail red nails still in school bitch,1,0
 troyals   gotone @ kaeejones tell me this nigga ain't purple then a bitch nigga not black http //t.co/id4xcmvgzu,1,0
god i would sell both my nuts to watch lebron tear his acl right now and watch all those pussies kill themselves,0,1
 warwicke  fag,1,0
"the next time i see a star of David , it wont be long until he look like this skull and crossbones",0,2
you a faggot if you bring a jacket to work and keep it at ya desk b/c the office is cold.,1,0
rt  y'all bitches got to stop pushing away the niggas who really care about y'all for these niggas who don't give a fuck,1,0
 if i have to watch baseball i actually go for the mets because jon stewart. and fuck the yankees.,1,0
rt  tiano  happy birthday fag boy,1,0
rt @ jocelynb yu hoes just love to pump fake bout y'all lives on these social networks,2,1
 winker bitch shut yo little ass up fucking no color emo faget ads nigga u call me dumb but u don't know shit,1,0
what is up my twitta niccas!,1,2
rt  txt only retards and dads roll lawful good.,2,0
"rt  these thots keep saying all niggas want is pussy&;&;....well bitch wtf else does your broke, non cooking, ass have to off&;",1,0
rt  if yo bitch only fucking with you bcuz of your money chances are any nigga with some money can fuck her?&;,1,0
 joe you bitch and complain about how bad our vets are being treated yet you are still willing to send them off to war? sick idiot!!,1,0
that depression shit trash.,1,0
stay home then bitch fuck u,0,1
"rt  niggas got a girl, why the fuck you asking girls to text you...hoes man hoes",1,0
*does backflip* thissssssss!!! rt  you niggas switch up your opinions like faggots,1,0
e years today i was a fucking retard and fell in love. why was i so stupid? wish i was coldhearted.  ,1,0
  you can always gets da colored folk back in da cage wit da kfc,0,2
" thought to myself sheeba-sheeba, got my ass lookin' like a zebra!",1,0
rt  some niggas act like straight up bitches,1,0
the movie  a hard ass chick flick. this nigga goes back in time if he but too quick n fucks the bitch over n over lol,1,0
you fake niggah lolol,1,0
rt   love you too my nig ,2,0
rt  sack number e for trent cole fuckin that bitch up,1,0
 jason bitch u a thot oh fake ass nigga box up hoe u not bout nothing,1,0
rt  i hate seeing a nice fee wit a weak nigga .. be like girl yu retarded r sumn?! uon know yu cud have me?!,1,0
 lol me and  just sit there and make fun of him. i can't stand that fag,1,0
 is 72% out of wedlock births a lie? latinos in 2nd place.# mostly driven up by illegal aliens w/ anchor babies,2,0
@ james kirby  back off ya queer bag,1,0
 i2  ray7 what a retard,1,0
rt  how you wife dat bitch 2many niggas fucked from my clique 2many niggas actin so rich all dese boppin hoes on my dick ,1,0
*gigantic rt  what a big faggot. rt  chubbs bout to earl.,1,0
""" im angie   i'm not even shy stfu"" kikis mom hi angelique angelique smiles *dips cracker in soup*",1,2
"@ westwest yall  woohoo! new black ""kill cracker babies"" panthers to the rescue!     ",0,2
 hoe don't tweet me,0,1
 that's my nig nog,1,0
"god made male and female blades of grass. every living thing must reproduce itself to stay on this earth birds, bees and grass. sex=natural",2,0
"rt    no, you're a nigger, go pick my cotton",1,0
",,,,,, |  | small tits ghetto whore fucking with not her stepdad http //t.co/ay6grntouw",1,0
why you fuckin wit a niggah if you aint fuckin wit a real niggah,1,0
that ass so perfect we can't help it rt  y'all diss hoes but praise nicki minaj everyday. i don't understand niggas man,1,0
 niggah you gay!,1,0
feminist aka a bitch.,0,1
starks being a faggot,1,0
okay but how many people really care if you can see a girls nips through her shirt,1,2
"white kids, black kids, yellow kids hell even purple kids, if you carry yourselves like daniel  you will go far. ",2,0
this nigga on the train treating his bitch over the phone lmao,1,0
real niggas let real bitches come &;,1,0
that nigga john ain't ah real older nigga forreal.. he let vick brotha bitch out on maplerow,1,0
@ lezzzbehonest i'm colored. ain't supposed to be no good influence,1,2
""" i ain't never seen a bitch so obsessed with they nigga&;"" i'm obsessed with mine &;",1,0
unemployed niggas get the most bitches ,1,0
 chug pee,2,0
  shut up fuckin beaner,1,0
"""niggas always yelling ""fuck bitches, get money"" meanwhile they're broke and still want the bitches&;.""",1,0
 fuck the yankees,1,0
 we in this bitch finna get crunk eyebrows on double papp &;&;,2,1
this is cute smiling face with smiling eyes,2,0
 ugly goldigging cunt u probably have an uncircumcised penis faggot,1,0
late night phone convos with my hoomie that nigga a gook,0,1
yeah chris brown definitely the realest waffle cone colored nigga of all time for that no bullshit song b that's exactly how i be feelin,1,0
  is da colored folk allowed to join? cuz in my hood folk worried about da watermelon not growin and da chicken too small,1,2
 yeaa black bitches actin like they too good for an average nigga like they just got ai credit and pussy,1,0
  so you was in a female dms talking to another nigga... you're a faggot b,1,0
i hate yellow jackets can't feel arms and back lol,2,0
"dumb idiot, stop doing this",0,1
how long are they going to let the fools in  continue? stop pussy footin' &amp; disperse them by whatever means necessary!,2,1
 jr he see the jig,2,0
"you girls got no job, no college set up to have a better future, then get mad when a nigga leave you cause all you got is pussy",1,0
yeah these valley faggots can go fuck themselves,1,0
"' annnie say fuck that niggah , he soo weak ! &; he can't tell that you a freak &; that you ain't lookin for love .... http //t.co/62urisgiqi",1,0
  i blocked that annoying ass sand nigger claims to not be biased but yet no one can say anything about khan,1,0
nigga u a cunt where yo fendi clutch,0,1
this shit sooooooooooooo trash.,1,2
    it does. you and all your hipster friends are ugly as fuck... and yo pussies all stank,1,0
 i was lucky to be sensible and i've never had a fag or a drug. i'm pleased about that statistic. yes i have a beer but that's all.,1,2
this niggah know wassup,0,1
 tactgear article is flawed. took my first chp with brpd. was well done. even had 2 ghetto gals with a jammy hi-purnt g but well done,1,2
rt  free wop,1,2
swing on her rt  i really don't like this woman. old hag ass bitch.,1,0
"rt  nigga &; can't believe i actually killed a cockroach.&; smh you a bitch, that was probably ma nigga eduardo",1,0
 you be totally correct anthony. can&;t be livin round dem colored folk. day be bringin down da hood and dem propery value,0,2
 cracker....,1,2
rt  i am that horrible friend who reads your text then puts the phone down to do something and forgets to reply until 4 ho&;,2,0
"   i don't give a flying fuck what you think about my tweets, worthless teabagger scum.",1,0
my nig jus said ain't nuttin worse den a fat loud hoe.tru fuckin story,0,1
 really u use in another nigga name and u follow a nigga who doesn't fucking like you your a faggot kok eyed mother fucker,1,0
rt  dat shit trash &; a shirt inspired by 's emoji tattoo. pre-order now http //t.co/vaulgcpkis http //t.co/h&;,1,2
" just saw your black nra skit. it was vile. you're not funny. was a fan of yours, not anymore. ",1,2
  st i bet he would have gone ape shit and killed them all if they attacked muslims.,1,0
bitch ass nigga,1,0
